,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
152,1
153,1
154,1
155,1
156,1
157,1
158,1
164,0
165,0
166,0
167,0
168,0
169,0
170,0
176,1
177,1
178,1
179,1
180,1
181,1
187,1
188,1
189,1
190,1
191,1
192,1
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
